"FirstAuthor","YearOfPublication","StudyName","StudyDesign","StudyDesignGroup","Exposure","SpecificExposure","IfExposureIsCategoricalReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureCutoff","ExposureGroup","ToReverseReferenceGroup","CodeLargerComparisonGroup","LargerComparisonGroup","Outcome","SpecificOutcome","OutcomeSubgroup","OutcomeGroup","SpecficOutcomeGroup","AgeAtOutcomeGroup","AgeAtOutcome","DiseaseRisk","DiseaseRiskGroup","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotentialConflictOfInterest","RiskOfBiasDueToPotentialConflictOfInterestGroup","NumberExposedInCases","NoNonExposedInCases","NumberExposedInControls","NumberNonExposedInControls","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Cl(Lower)","95%Cl(Upper)","Pvalue","OtherInformationUnadjustedAnalysis","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","Adj95%Cl(Lower)","Adj95%Cl(Upper)","AdjPValue","OtherInformationAdjustedAnalysis","same as column z . AR CAN BE REMOVED","FinalEffect","UnadjInOr(RawNumbersOrUnadjOrRrHr)","Unadjse(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOrOriginal","AdjSe(InOr)","FinalInOrOriginal","FinalSe(InOr)","UnadjInOr","AdjInOr","FinalInOr"
"Gruber","2010","MIPS-1","prospective cohort","prospective","Total BF duration","eBF","<2","2+","2","0to2","2","",">=2","Allergic Sensitization","sIgE - CM","sIgE-CM","atopic","CM","0to4","1","normal/low","Low","High","Other","High","Unclear-High","","","","","","","","","","","","","","","","","High","OR","-0.99","1.08","","","-0.99","1.08","-0.99","","-0.99"
"Gruber","2010","MIPS-1","prospective cohort","prospective","Total BF duration","eBF","<2","2+","2","0to2","2","",">=2","Allergic Sensitization","sIgE - egg","sIgE-EGG","atopic","EGG","0to4","1","normal/low","Low","High","Other","High","Unclear-High","","","","","","","","","","","","","","","","","High","OR","0.61","0.93","","","0.61","0.93","0.61","","0.61"
"Koplin","2010","HealthNUTS","prospective cohort","prospective","SOLID FOOD","solid","<4",">6","4","3to4","2","long",">=6","FOOD ALLERGY","IgE-mediated egg allergy","","atopic","FA-EGG","0to4","1","low","low/normal","Low","Low","High","Unclear-High","","","","","OR","1.3","0.3","5.5","","","OR","0.7","0.2","3","","","High","OR","0.26","0.74","-0.36","0.74","-0.36","0.74","0.26","-0.36","-0.36"
"Martel","2008","Martel  M. J. ","nested case-control","prospective","Total duration of breastfeeding","TBF","0","?6","0","0","2","long",">=6","Asthma-Wheeze","Doctor-diagnosed Asthma","","atopic","wheeze.rec","5to14","<10","normal","low/normal","High","Other","High","Unclear-High","","","","","OR","0.6","0.46","0.78","<0.01","","OR","0.77","0.57","1.03","","","High","OR","-0.51","0.13","-0.26","0.15","-0.26","0.15","-0.51","-0.26","-0.26"
"Bj?rkst?n","2011","ISAAC Phase 3","CROSS SECTIONAL","retrospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","Asthma Ever","","atopic","wheeze.rec","5to14","7","normal","low/normal","Low","Low","High","Unclear-High","","","","","OR","","","","","","OR","0.96","0.9","1.03","","","High","OR","","","-0.04","0.04","-0.04","0.04","","-0.04","-0.04"
"Bj?rkst?n","2011","ISAAC Phase 3","CROSS SECTIONAL","retrospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","current wheeze","","atopic","wheeze","5to14","7","normal","low/normal","Low","Low","High","Unclear-High","","","","","OR","","","","","","OR","0.99","0.92","1.05","","","High","OR","","","-0.01","0.03","-0.01","0.03","","-0.01","-0.01"
"Miskelly","1988","Miskelly  South Whales","prospective cohort (of RCT)","prospective","duration of total BF","TBF","never","ever","0","0","2",">0",">0","Asthma-Wheeze","wheeze","","atopic","wheeze","0to4","1","high","high","High","Other","High","Unclear-High","","","","","","","","","<0.001","","","","","","","","High","OR","-0.99","0.21","","","-0.99","0.21","-0.99","","-0.99"
"Miskelly","1988","Miskelly  South Whales","prospective cohort (of RCT)","prospective","duration of total BF","TBF","<6",">=6","6","5to7","2",">=6",">=6","Asthma-Wheeze","wheeze","","atopic","wheeze","0to4","1","high","high","High","Other","High","Unclear-High","","","","","","","","","","","","","","","","","High","OR","-0.35","0.37","","","-0.35","0.37","-0.35","","-0.35"
"Thompson","1999","NSHD+NCDS Surveys","NESTED CASE CONTROL","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","IBD","Ulcerarive colitis","","autoim","IBD-UC","auto","33-43","normal","low/normal","High","Other","High","Unclear-High","23","4","146","70","OR","2.76","0.86","9.81","0.1","","OR","","","","","","High","OR","1.02","0.65","","","1.02","0.65","1.02","","1.02"
"Thompson","1999","NSHD+NCDS Surveys","NESTED CASE CONTROL","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","IBD","Crohn's disease","","autoim","IBD-CRD","auto","33-43","normal","low/normal","High","Other","High","Unclear-High","13","11","139","47","OR","0.4","0.15","1.03","0.06","","OR","","","","","","High","OR","-0.92","0.48","","","-0.92","0.48","-0.92","","-0.92"
"Koplin","2010","HealthNUTS","prospective cohort","prospective","Total breastfeeding duration","TBF","<1",">12","1","1to2","2","long",">=12","FOOD ALLERGY","IgE-mediated egg allergy","","atopic","FA-EGG","0to4","1","low","low/normal","Low","Low","High","Unclear-High","","","","","OR","2.1","1.2","3.7","","","OR","0.7","0.4","1.4","","","High","OR","0.74","0.29","-0.36","0.35","-0.36","0.35","0.74","-0.36","-0.36"
"Bj?rkst?n","2011","ISAAC Phase 3","CROSS SECTIONAL","retrospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Rhinoconjunctivits","Hay Fever Ever ","","atopic","AR","5to14","7","normal","low/normal","Low","Low","High","Unclear-High","","","","","OR","","","","","","OR","0.93","0.86","1","","","High","OR","","","-0.07","0.04","-0.07","0.04","","-0.07","-0.07"
"Miskelly","1988","Miskelly  South Whales","prospective cohort (of RCT)","prospective","duration of total BF","TBF","never","ever","0","0","2",">0",">0","Rhinoconjunctivits","nasal discharge","","atopic","AR","0to4","1","high","high","High","Other","High","Unclear-High","","","","","","","","","","","","","","","","","High","OR","-0.33","0.19","","","-0.33","0.19","-0.33","","-0.33"
"Bj?rkst?n","2011","ISAAC Phase 3","CROSS SECTIONAL","retrospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","AD","Eczema Ever","","atopic","AD","5to14","7","normal","low/normal","Low","Low","High","Unclear-High","","","","","OR","","","","","","OR","1.05","1","1.11","","","High","OR","","","0.05","0.03","0.05","0.03","","0.05","0.05"
"Miskelly","1988","Miskelly  South Whales","prospective cohort (of RCT)","prospective","duration of total BF","TBF","never","ever","0","0","2",">0",">0","AD","eczema","","atopic","AD","0to4","1","high","high","High","Other","High","Unclear-High","","","","","","","","","ns","The incidence of eczema wassimilar in those ever and never breast fed (35% and40%  respectively)  so the effect of duration oneczema was not examined.","","","","","","","High","OR","-0.21","0.19","","","-0.21","0.19","-0.21","","-0.21"
"Sicherer","2010","The Consortium of Food Allergy Research","prospective cohort","prospective","Ever breastfed","TBF","ever","never","0","0","1",">0",">0","Allergic Sensitization","IgE-peanut","sIgE-PEANUT","atopic","PEANUT","0to4","1","high","high","High","Other","High","Unclear-High","","","","","OR","","","","ns","(Additional analyses of peanut specific IgE sensitization (>0.35 kUA/L) andlinear regression modeling was performed. Univariate analyses were also performed for detectable peanutIgE (>0.35 kUA/L)  and results showed similar trends and conclusionsas those for peanut IgE >5 kUA/L.)","","","","","not tested","","High","OR","-0.11","0.28","","","-0.11","0.28","0.11","","0.11"
"Nagel (Affluent countries)","2008","ISAAC Phase 2 - Affluent countries","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","0","?4","0","0to2","2",">=4","","Asthma-Wheeze","Nonatopic Wheeze","","atopic","wheeze-non atopic","5to14","12","normal/low","normal","High","Other","Low","Low","","","","","OR","0.96","0.72","1.27","","","OR","0.98","0.73","1.31","","","Low","OR","-0.04","0.14","-0.02","0.15","-0.02","0.15","-0.04","-0.02","-0.02"
"Nagel (Non Affluent countries)","2008","ISAAC Phase 2- Nonaffluent countries","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","0","?4","0","0to2","2",">=4","","Asthma-Wheeze","Nonatopic Wheeze","","atopic","wheeze-non atopic","5to14","12","normal/low","normal","High","Other","Low","Low","","","","","OR","0.73","0.55","0.98","","","OR","0.75","0.55","1","","","Low","OR","-0.31","0.15","-0.29","0.15","-0.29","0.15","-0.31","-0.29","-0.29"
"Salam","2003","Child Health's Study","nested case-control","prospective","Duration of exclusive breastfeeding","eBF","?4","<4","4","3to4","1",">=4","","Asthma-Wheeze","late-onset asthma","","atopic","wheeze-Late onset","5to14","6TO18","normal/low","normal","Unclear","Other","Low","Low","35","31","121","280","OR","","","","","","OR","1.98","0.96","4.07","","","Low","OR","0.96","0.27","0.68","0.37","0.68","0.37","-0.96","-0.68","-0.68"
"Salam","2003","Child Health's Study","nested case-control","prospective","Duration of exclusive breastfeeding","eBF","?4","<4","4","3to4","1",">=4","","Asthma-Wheeze","Early-transient wheeze","","atopic","wheeze-Early transient ","5to14","6TO18","normal/low","normal","Unclear","Other","Low","Low","14","32","121","280","OR","","","","","","OR","1.34","0.54","3.33","","","Low","OR","0.01","0.34","0.29","0.46","0.29","0.46","-0.01","-0.29","-0.29"
"Simon","2008","Childhood Atopy Study (CAS)","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","0",">=4","0","0to2","2",">=4","","Asthma-Wheeze","transient wheeze","","atopic","wheeze-Early transient ","5to14","6","normal/low","normal","Unclear","Other","Low","Low","","","","","","","","","","","RR","0.9","0.7","1.1","","","Low","RR","-0.51","0.29","-0.11","0.1","-0.11","0.1","-0.51","-0.11","-0.11"
"Nagel (Affluent countries)","2008","ISAAC Phase 2 - Affluent countries","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","0","?4","0","0to2","2",">=4","","Asthma-Wheeze","Atopic Wheeze","","atopic","wheeze-atopic ","5to14","12","normal/low","normal","High","Other","Low","Low","","","","","OR","0.9","0.68","1.21","","","OR","0.92","0.69","1.24","","","Low","OR","-0.11","0.15","-0.08","0.15","-0.08","0.15","-0.11","-0.08","-0.08"
"Nagel (Non Affluent countries)","2008","ISAAC Phase 2- Nonaffluent countries","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","0","?4","0","0to2","2",">=4","","Asthma-Wheeze","Atopic Wheeze","","atopic","wheeze-atopic ","5to14","12","normal/low","normal","High","Other","Low","Low","","","","","OR","0.66","0.44","0.98","","","OR","0.68","0.44","1.05","","","Low","OR","-0.42","0.2","-0.39","0.22","-0.39","0.22","-0.42","-0.39","-0.39"
"Kull","2010","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2",">=4","","Asthma-Wheeze","Non Atopic Asthma","","atopic","wheeze.rec-non atopic","0to4","4","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.8","0.45","1.4","","","Low","OR","","","-0.22","0.29","-0.22","0.29","","-0.22","-0.22"
"Kull","2004","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<=2","=>5","2","0to2","2",">=5","","Asthma-Wheeze","NON ATOPIC Asthma","","atopic","wheeze.rec-non atopic","0to4","4","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.64","0.38","1.07","","","Low","OR","-0.47","0.27","-0.45","0.26","-0.45","0.26","-0.47","-0.45","-0.45"
"Kull","2010","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2",">=4","","Asthma-Wheeze","Non Atopic Asthma","","atopic","wheeze.rec-non atopic","5to14","8","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","1.18","0.56","2.48","","","Low","OR","","","0.17","0.38","0.17","0.38","","0.17","0.17"
"Kull","2010","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2",">=4","","Asthma-Wheeze","Atopic Asthma","","atopic","wheeze.rec-atopic ","0to4","4","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.69","0.37","1.29","","","Low","OR","","","-0.37","0.32","-0.37","0.32","","-0.37","-0.37"
"Kull","2004","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<=2","=>5","2","0to2","2",">=5","","Asthma-Wheeze","ATOPIC Asthma","","atopic","wheeze.rec-atopic ","0to4","4","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.45","0.21","0.96","","","Low","OR","-0.97","0.37","-0.8","0.39","-0.8","0.39","-0.97","-0.8","-0.8"
"Kull","2010","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2",">=4","","Asthma-Wheeze","Atopic Asthma","","atopic","wheeze.rec-atopic ","5to14","8","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.58","0.37","0.93","","","Low","OR","","","-0.54","0.24","-0.54","0.24","","-0.54","-0.54"
"Fergusson","1983","Chirstchurch Child Development Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<4","4","4","3to4","2","4","","Asthma-Wheeze","Ever Asthma(DD)","","atopic","wheeze.rec","0to4","4","normal/low","normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.34","0.48","","","0.34","0.48","0.34","","0.34"
"Miyake","2008","Osaka Maternal and Child Health Study (OMCHS)","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">=4","4","3to4","2",">=4","","Asthma-Wheeze","Ever Asthma(DD)","","atopic","wheeze.rec","0to4","2","normal/low","normal","High","Other","Low","Low","","","","","OR","1.09","0.54","2.2","","","OR","1.07","0.52","2.23","","","Low","OR","0.09","0.36","0.07","0.37","0.07","0.37","0.09","0.07","0.07"
"Siltanen","2003","Saarinen KM  1999 (#1282)","prospective cohort (of RCT)","prospective","duration of exclusive breastfeeding","eBF","<3",">=3","3","3to4","2",">=3","","Asthma-Wheeze","Asthma","","atopic","wheeze.rec","0to4","4","normal/low","normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.41","0.5","","","0.41","0.5","0.41","","0.41"
"Wilson","1998","Dundee infant feeding study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF",">=4","<4","4","3to4","1",">=4","","Asthma-Wheeze","Ever Asthma(DD)","","atopic","wheeze.rec","5to14","7","normal/low","normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.69","0.41","","","0.69","0.41","-0.69","","-0.69"
"Nagel (Affluent countries)","2008","ISAAC Phase 2 - Affluent countries","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","0","?4","0","0to2","2",">=4","","Asthma-Wheeze","ever Asthma","","atopic","wheeze.rec","5to14","12","normal/low","normal","High","Other","Low","Low","","","","","OR","0.87","0.75","1.02","","","OR","0.91","0.78","1.07","","","Low","OR","-0.14","0.08","-0.09","0.08","-0.09","0.08","-0.14","-0.09","-0.09"
"Nagel (Non Affluent countries)","2008","ISAAC Phase 2- Nonaffluent countries","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","0","?4","0","0to2","2",">=4","","Asthma-Wheeze","ever Asthma","","atopic","wheeze.rec","5to14","12","normal/low","normal","High","Other","Low","Low","","","","","OR","0.74","0.59","0.92","","","OR","0.75","0.6","0.94","","","Low","OR","-0.3","0.11","-0.29","0.12","-0.29","0.12","-0.3","-0.29","-0.29"
"Erkkola","2012","DIPP  (Type 1 Diabetes Prediction and Prevention Project)","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","1st third","3rd third","1","0to2","2",">=3","","Asthma-Wheeze","Asthma(ICS/excercise).12mo","","atopic","wheeze.rec","5to14","5","normal/low","normal","High","Other","Low","Low","","","","","chi square","","","","","","","","","","","","Low","OR","-0.53","0.21","","","-0.53","0.21","-0.53","","-0.53"
"Rothenbacher","2005","Rothenbacher  Ulm University","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3",">6","3","3to4","2",">=3","","Asthma-Wheeze","Ever Asthma(DD)","","atopic","wheeze.rec","0to4","2","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.48","0.22","","","-0.48","0.22","-0.48","","-0.48"
"Kull","2002","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2",">=4","","Asthma-Wheeze","Ever Asthma(ICS/excercise)","","atopic","wheeze.rec","0to4","2","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.66","0.51","0.87","","","Low","OR","-0.46","0.13","-0.42","0.14","-0.42","0.14","-0.46","-0.42","-0.42"
"Arshad","1992","Isle of Wight Prevention Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2",">=3","","Asthma-Wheeze","Asthma.12mo","","atopic","wheeze.rec","0to4","1","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","1.65","0.91","2.99","","","Low","OR","-0.64","0.23","0.5","0.3","0.5","0.3","-0.64","0.5","0.5"
"Hetzner","2009","Early Child Longitudinal Study Birth Cohort","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","6","< 6","6","ge5","1","6","","Asthma-Wheeze","Ever Asthma (DD)","","atopic","wheeze.rec","0to4","2","normal/low","normal","Low","Low","Low","Low","","","","","OR","","","","NS","","OR","0.92","0.54","1.56","","","Low","OR","","","-0.08","0.27","-0.08","0.27","","0.08","0.08"
"Strassburger","2010","Strassburger  Sao Leopoldo Brazil","prospective cohort","prospective","duration of exclusive breastfeeding","eBF",">=6","<6","6","ge5","1",">=6","","Asthma-Wheeze","EVER ASTHMA","","atopic","wheeze.rec","0to4","3.5","normal/low","normal","Low","Low","Low","Low","","","","","OR","1.55","0.61","3.92","0.351","","OR","","","","","hierarchical logistic model (The third level (LevelIII) included variables related to feeding practices in the firstyear of life  with p < 0.2 on crude analysis  and variables thatremained in previous models  being considered statisticallysignificant when p < 0.05.)- NOT INCLDUDED IN THE FINAL MODEL","Low","OR","0.44","0.47","","","0.44","0.47","-0.44","","-0.44"
"Pesonen","2006","Pesonen","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<9",">=9","9","ge5","2",">0","","Asthma-Wheeze","recurrent wheeze","","atopic","wheeze.rec","ge15","20","normal/low","normal","Low","Low","Low","Low","","","","","OR","1.4","0.5","4.3","0.51","","","","","","","","Low","OR","0.34","0.57","","","0.34","0.57","0.34","","0.34"
"Pesonen","2006","Pesonen","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<2","2- <6","2","0to2","2",">=2","","Asthma-Wheeze","recurrent wheeze","","atopic","wheeze.rec","ge15","20","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.83","0.62","","","-0.83","0.62","-0.83","","-0.83"
"Mihrshahi","2007","Childhood ASTHMA Prevention Study (CAPS)","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2",">=3","","Asthma-Wheeze","Ever Asthma(DD)","","atopic","wheeze.rec","5to14","5","high","high","Low","Low","Low","Low","","","","","OR","0.9","0.56","1.47","","","OR","0.93","0.56","1.53","","","Low","OR","-0.11","0.25","-0.07","0.25","-0.07","0.25","-0.11","-0.07","-0.07"
"Kull","2010","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2",">=4","","Asthma-Wheeze","Ever Asthma(ICS/excercise)","","atopic","wheeze.rec","5to14","8","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.63","0.5","0.78","","","Low","OR","","","-0.46","0.11","-0.46","0.11","","-0.46","-0.46"
"Horwood","1995","Christchurch Child Development Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<4","4","4","3to4","2","4","","Asthma-Wheeze","Ever Asthma(DD)","","atopic","wheeze.rec","5to14","6","normal/low","normal","Low","Low","Low","Low","","","","","","","","","ns","","","","","","","","Low","OR","0.34","0.24","","","0.34","0.24","0.34","","0.34"
"Kurukulaaratchy","2004","Isle of Wight Prevention Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2",">=3","","Asthma-Wheeze","early-onset persistentwheezers","","atopic","wheeze.rec","5to14","10","normal/low","normal","Low","Low","Low","Low","","","","","OR","0.38","0.24","0.62","","","","","","","NS","non estatistically significant","Low","OR","-0.97","0.25","","","-0.97","0.25","-0.97","","-0.97"
"Pesonen","2006","Pesonen","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<9",">=9","9","ge5","2",">=9","","Asthma-Wheeze","recurrent wheeze","","atopic","wheeze.rec","5to14","5","normal/low","normal","Low","Low","Low","Low","","","","","OR","6.1","0.9","38.4","0.03","","","","","","","","Low","OR","1.81","0.94","","","1.81","0.94","1.81","","1.81"
"Pesonen","2006","Pesonen","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<2",">=9","2","0to2","2",">=9","","Asthma-Wheeze","recurrent wheeze","","atopic","wheeze.rec","5to14","5","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.96","1.18","","","0.96","1.18","0.96","","0.96"
"Mai","2007","SAGE","nested case-control","prospective","Duration of exclusive breastfeeding","eBF","?3","<3","3","3to4","1",">=3","","Asthma-Wheeze","Doctor-diagnosed Asthma","","atopic","wheeze.rec","5to14","10","normal/low","normal","Unclear","Other","Low","Low","","","","","OR","1.38","1","1.89","<0.05","","OR","1.37","0.97","1.94","","","Low","OR","0.32","0.16","0.31","0.18","0.31","0.18","-0.32","-0.31","-0.31"
