"FirstAuthor","YearOfPublication","StudyName","Design","DesignGroup","Exposure","SpecificFood","FoodSubgroup","SpecificExposureGroup","MotherChildExposure","IfExposureIsCategorialReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureSizeGroup","ExposureCategories","ToReverseReferenceGroup","OutcomeGroup","SpecificOutcome","OutcomeSubgroup","AgeAtOutcome","AgeAtOutcomeGroup","DiseaseRisk","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotenialConflictOfInterest","Col","Ncases","NumberExposedinCases","NumberNonExposedinCases","NumberExposedinControls","NumberNonExposedinControls","TotalNumberParticpantsWithOutcomesAndExposureDataInExposedGroup","NumberParticipantsWithTheOutcomeInExposed","TotalNumberParticpantsWithOutcomeAndExposureDataInNonExposedGroup","NumberParticipantsWithOutcomeInNonExposed","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Ci(Lower)","955CI(Upper)","Pvalue","Other","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","AdJ95%Ci(Lower)","AdJ95%Ci(Upper)","AdjPValue","FinalEffectMeasureAssociation(OrHrMeanDifference(B))","UnadjInOr(RawNmbersOrUnadjOrRrHr)","UnadjSe(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOr","AdjSe(InOr)","FinalInOr","FinalSe(InOr)","BackcalcUnadjOr","BackcalcUnadjLL95%CI","BackcalcAnadjUL95%CI","BackCalcAdjOr","BackcalcAdjLL95%CI","BackcalcAdjUL95%CI","BackcalcFinalOr","BackcalcFinalLL95%Cl","BackcalcFinalUL95%Cl","FinalEm","FUnadjInOr","FUnadjiSe(InOr)","FAdjInOr","FAdjSe(InOr)","FFinalInOr","FFinalSe(InOr)","FBackcalcUnadjOr","FBackcalcUnadjLL95%Cl","FBackcalcUnadjUL95%Cl","FBackcalcAdjOr","FBackcalcAdjLL95%Cl","FBackcalcAdjUL95%Cl","FBackcalcFinalOr","FBackcalcFinalLL95%Cl","FBackcalcFinalUL95%Cl"
"Alm","2009","Infants of Western Sweden","prospective cohort","prospective","FISH","fish","any fish","INFANT FISH- FISH OIL INTAKE","infant-1st year-intake",">3","0","oftenVSnever-rare","freq(times/week)","2=no","atopic","AD","","1","0to4","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","OR","2.73","1.8","4.13","","","","","","","NS","OR","1.004301609","0.211212142","","","1.004301609","0.211212142","2.73","1.804576271","4.13","","","","2.73","1.804576271","4.13","OR","1.004301609","0.211212142","","","1.004301609","0.211212142","2.73","1.804576271","4.13","","","","2.73","1.804576271","4.13"
"Oien","2009","PACT","prospective cohort","prospective","Fatty acid","fish","any fish","INFANT FISH- FISH OIL INTAKE","infant-1st year-intake","Never","?1x/week","oftenVSnever-rare","freq(times/week)","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.65","0.45","0.94","","","OR","0.62","0.42","0.91","","OR","-0.430782916","0.188218119","-0.478035801","0.195778123","-0.478035801","0.195778123","0.65","0.449468085","0.94","0.62","0.422417582","0.91","0.62","0.422417582","0.91","OR","-0.430782916","0.188218119","-0.478035801","0.195778123","-0.478035801","0.195778123","0.65","0.449468085","0.94","0.62","0.422417582","0.91","0.62","0.422417582","0.91"
"Zutavern","2006","LISA","prospective cohort","prospective","fruit","fruits","FRUIT","INFANT FRUIT INTRODUCTION","infant-1st year-intro","0-4",">6m","0to4","categ(months)","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","OR","1.11","0.78","1.57","","OR","","","0.104360015","0.176895716","0.104360015","0.176895716","","","","1.11","0.78477707","1.57","1.11","0.78477707","1.57","OR","","","0.104360015","0.176895716","0.104360015","0.176895716","","","","1.11","0.78477707","1.57","1.11","0.78477707","1.57"
"Dunlop","2006","Slovak birth cohort","prospective cohort","prospective","CITRUS FRUIT","citrus fruits","FRUIT","INFANT FRUIT INTRODUCTION","infant-1st year-intro",">12","<12","8plus","categ(months)","1=yes","atopic","AD","","1","0to4","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","OR","1.11","0.7","1.8","","","","","","","","OR","0.104360015","0.24664625","","","0.104360015","0.24664625","1.11","0.6845","1.8","","","","1.11","0.6845","1.8","OR","-0.104360015","0.24664625","","","-0.104360015","0.24664625","0.900900901","0.555555556","1.46092038","","","","0.900900901","0.555555556","1.46092038"
"Andreasyan","2007","Tasmanian Infant Health Survey- >CARHS ","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - CHILD","fruit syrup","FRUIT JUICE-SYRUP","INFANT FRUIT INTRODUCTION","infant-1st year-intro",">1","<=1","0to4","categ(months)","1=yes","atopic","AD","","9","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","RR","1","0.64","1.56","","","RR","1.22","0.77","1.92","","RR","0","0.226880521","0.198850859","0.231364453","0.198850859","0.231364453","1","0.641025641","1.56","1.22","0.775208333","1.92","1.22","0.775208333","1.92","RR","0","0.226880521","-0.198850859","0.231364453","-0.198850859","0.231364453","1","0.641025641","1.56","0.819672131","0.520833333","1.289975813","0.819672131","0.520833333","1.289975813"
"Zutavern","2006","LISA","prospective cohort","prospective","VEGETABLES","vegetables","VEGETABLES","INFANT VEGETABLE INTRODUCTION","infant-1st year-intro","0-4",">6m","0to4","categ(months)","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","OR","1.49","1.06","2.1","","OR","","","0.39877612","0.175082258","0.39877612","0.175082258","","","","1.49","1.057190476","2.1","1.49","1.057190476","2.1","OR","","","0.39877612","0.175082258","0.39877612","0.175082258","","","","1.49","1.057190476","2.1","1.49","1.057190476","2.1"
"Zutavern","2004","ZUTAVERN  A","prospective cohort","prospective","vegetables","vegetables","VEGETABLES","INFANT VEGETABLE INTRODUCTION","infant-1st year-intro","<=4",">4","0to4","categ(months)","2=no","atopic","AD","","5.5","5to14","low-normal","Low","Low","Low","Low","","","","","","174","58.638","449","162.538","","","","","0.57","in the paper they call it prevalence at age 5.5 but based on the definition it is not for AD and transiet wheeze","OR","0.83","0.55","1.3","","OR","-0.109997988","0.188056973","-0.186329578","0.22892543","-0.186329578","0.22892543","0.895835937","0.619656705","1.295107469","0.83","0.529923077","1.3","0.83","0.529923077","1.3","OR","-0.109997988","0.188056973","-0.186329578","0.22892543","-0.186329578","0.22892543","0.895835937","0.619656705","1.295107469","0.83","0.529923077","1.3","0.83","0.529923077","1.3"
"Zutavern","2006","LISA","prospective cohort","prospective","meat","meat","","INFANT MEAT INTRODUCTION","infant-1st year-intro","0-4",">6m","0to4","categ(months)","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","OR","1.63","1","2.65","","OR","","","0.488580015","0.247948788","0.488580015","0.247948788","","","","1.63","1.002603774","2.65","1.63","1.002603774","2.65","OR","","","0.488580015","0.247948788","0.488580015","0.247948788","","","","1.63","1.002603774","2.65","1.63","1.002603774","2.65"
"Zutavern","2004","ZUTAVERN  A","prospective cohort","prospective","meat","meat","","INFANT MEAT INTRODUCTION","infant-1st year-intro","<=5",">5","5to7","categ(months)","2=no","atopic","AD","","5.5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","256","93.952","365","127.02","","","","","0.64","in the paper they call it prevalence at age 5.5 but based on the definition it is not for AD and transiet wheeze","","","","","","OR","0.082733508","0.169969273","","","0.082733508","0.169969273","1.086252292","0.778484446","1.515693793","","","","1.086252292","0.778484446","1.515693793","OR","0.082733508","0.169969273","","","0.082733508","0.169969273","1.086252292","0.778484446","1.515693793","","","","1.086252292","0.778484446","1.515693793"
"Andreasyan","2007","Tasmanian Infant Health Survey- >CARHS ","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - CHILD","Non-milk fluids","ANY NON-MILK FLUID","INFANT NON-MILK FLUID INTRODUCTION","infant-1st year-intro",">1","<=1","0to4","categ(months)","2=no","atopic","AD","","9","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","RR","0.88","0.32","2.42","","","RR","1.01","0.35","2.87","","RR","-0.127833372","0.516122914","0.009950331","0.532837601","0.009950331","0.532837601","0.88","0.32","2.42","1.01","0.35543554","2.87","1.01","0.35543554","2.87","RR","-0.127833372","0.516122914","0.009950331","0.532837601","0.009950331","0.532837601","0.88","0.32","2.42","1.01","0.35543554","2.87","1.01","0.35543554","2.87"
"Oien","2009","PACT","prospective cohort","prospective","Fatty acid","vegetables","VEGETABLES","INFANT VEGETABLE INTAKE","infant-1st year-intake","?1x/week","Almost daily","oftenVSnever-rare","freq(times/week)","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.92","0.48","1.77","","","","","","","","OR","-0.083381609","0.333857732","","","-0.083381609","0.333857732","0.92","0.47819209","1.77","","","","0.92","0.47819209","1.77","OR","-0.083381609","0.333857732","","","-0.083381609","0.333857732","0.92","0.47819209","1.77","","","","0.92","0.47819209","1.77"
"Bisgaard","2009","COPSAC","prospective cohort","prospective","ALCOHOL","alcohol","","MATERNAL ALCOHOL INTAKE","mother-pregnancy-intake","NO","YES","oftenVSnever-rare","yes-no","2=no","atopic","AD","","3","0to4","high","Low","Low","Low","Low","","","","","","","","","","OR","1.74","1","3.05","0.05","","OR","1.88","0.94","3.75","0.07","OR","0.553885113","0.286355346","0.631271777","0.352287787","0.631271777","0.352287787","1.74","0.992655738","3.05","1.88","0.942506667","3.75","1.88","0.942506667","3.75","OR","0.553885113","0.286355346","0.631271777","0.352287787","0.631271777","0.352287787","1.74","0.992655738","3.05","1.88","0.942506667","3.75","1.88","0.942506667","3.75"
"Linneberg","2004","DANISH BIRTH COHORT ","prospective cohort","prospective","MATERNAL INTAKE of alcohol late  pregnancy","alcohol","","MATERNAL ALCOHOL INTAKE","mother-pregnancy-intake","0","?4","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","1.5","0to4","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","HR","1.01","0.8","1.29","","","HR","1.05","0.82","1.33","","HR","0.009950331","0.1248428","0.048790164","0.120606519","0.048790164","0.120606519","1.01","0.790775194","1.29","1.05","0.828947368","1.33","1.05","0.828947368","1.33","HR","0.009950331","0.1248428","0.048790164","0.120606519","0.048790164","0.120606519","1.01","0.790775194","1.29","1.05","0.828947368","1.33","1.05","0.828947368","1.33"
"Miyake","2010","OMCHS","prospective cohort","prospective","any dairy product","dairy","ALL DAIRY","MATERNAL DAIRY INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.88","0.54","1.43","","","OR","1.01","0.59","1.73","","OR","-0.127833372","0.247708069","0.009950331","0.27457708","0.009950331","0.27457708","0.88","0.541538462","1.43","1.01","0.589653179","1.73","1.01","0.589653179","1.73","OR","-0.127833372","0.247708069","0.009950331","0.27457708","0.009950331","0.27457708","0.88","0.541538462","1.43","1.01","0.589653179","1.73","1.01","0.589653179","1.73"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","milk","MILK","MATERNAL DAIRY INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","1710","304","803","142","","","","","","","OR","1.04","0.8","1.34","","OR","0.006450411","0.112052774","0.039220713","0.129310664","0.039220713","0.129310664","1.00647126","0.808016318","1.253668242","1.04","0.807164179","1.34","1.04","0.807164179","1.34","OR","0.006450411","0.112052774","0.039220713","0.129310664","0.039220713","0.129310664","1.00647126","0.808016318","1.253668242","1.04","0.807164179","1.34","1.04","0.807164179","1.34"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","egg","EGG","MATERNAL EGG INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","1838","318","670","127","","","","","","","OR","0.81","0.62","1.06","","OR","-0.111491998","0.116267731","-0.210721031","0.137239765","-0.210721031","0.137239765","0.89449855","0.712214072","1.123437021","0.81","0.618962264","1.06","0.81","0.618962264","1.06","OR","-0.111491998","0.116267731","-0.210721031","0.137239765","-0.210721031","0.137239765","0.89449855","0.712214072","1.123437021","0.81","0.618962264","1.06","0.81","0.618962264","1.06"
"Miyake","2010","OMCHS","prospective cohort","prospective","Eggs","egg","EGG","MATERNAL EGG INTAKE","mother-pregnancy-intake","Q1 - lowest","Q4 - highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","0.33","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.81","0.38","1.68","","","OR","0.73","0.33","1.61","","OR","-0.210721031","0.372201441","-0.314710745","0.403543328","-0.314710745","0.403543328","0.81","0.390535714","1.68","0.73","0.330993789","1.61","0.73","0.330993789","1.61","OR","-0.210721031","0.372201441","-0.314710745","0.403543328","-0.314710745","0.403543328","0.81","0.390535714","1.68","0.73","0.330993789","1.61","0.73","0.330993789","1.61"
"Nwaru","2012","DIPP","prospective cohort","prospective","Specific food intake - maternal [pregnancy]","fat - saturated ","ANIMAL- DAIRY- SATURATED","MATERNAL FAT INTAKE","mother-pregnancy-intake","Second/third quartile of intake","Highest quartile","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","5","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.04","0.85","1.27","","","OR","1.03","0.84","1.27","","OR","0.039220713","0.10193683","0.029558802","0.106866377","0.029558802","0.106866377","1.04","0.851653543","1.27","1.03","0.835354331","1.27","1.03","0.835354331","1.27","OR","0.039220713","0.10193683","0.029558802","0.106866377","0.029558802","0.106866377","1.04","0.851653543","1.27","1.03","0.835354331","1.27","1.03","0.835354331","1.27"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Fatty acid","butter","ANIMAL- DAIRY- SATURATED","MATERNAL FAT INTAKE","mother-pregnancy-intake","Low","High maternal intake of butter during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","1616","274","857","162","","","","","","","OR","1.08","0.79","1.46","","OR","-0.132472701","0.109574084","0.076961041","0.153813977","0.076961041","0.153813977","0.875926846","0.706637195","1.085773357","1.08","0.79890411","1.46","1.08","0.79890411","1.46","OR","-0.132472701","0.109574084","0.076961041","0.153813977","0.076961041","0.153813977","0.875926846","0.706637195","1.085773357","1.08","0.79890411","1.46","1.08","0.79890411","1.46"
"Miyake","2009","OMCHS","prospective cohort","prospective","Saturated fatty acids pregnancy","fat saturated ","ANIMAL- DAIRY- SATURATED","MATERNAL FAT INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.3","0.78","2.18","","","OR","1.6","0.92","2.83","","OR","0.262364264","0.263755414","0.470003629","0.290955654","0.470003629","0.290955654","1.3","0.775229358","2.18","1.6","0.90459364","2.83","1.6","0.90459364","2.83","OR","0.262364264","0.263755414","0.470003629","0.290955654","0.470003629","0.290955654","1.3","0.775229358","2.18","1.6","0.90459364","2.83","1.6","0.90459364","2.83"
"Oien","2009","PACT","prospective cohort","prospective","Fatty acid","cod liver oil","COD LIVER OIL","MATERNAL FISH OIL SUPPLEMENT","mother-pregnancy-suppl","Never","?4","oftenVSnever-rare","freq(times/week)","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.96","0.77","1.2","0.71","","","","","","","OR","-0.040821995","0.113848751","","","-0.040821995","0.113848751","0.96","0.768","1.2","","","","0.96","0.768","1.2","OR","-0.040821995","0.113848751","","","-0.040821995","0.113848751","0.96","0.768","1.2","","","","0.96","0.768","1.2"
"Wang","2007","Tiawan Nationation Birth Cohort Study","prospective cohort","prospective","Fatty acid","fat - oils from deep sea fish","OTHER FISH OILS","MATERNAL FISH OIL SUPPLEMENT","mother-pregnancy-suppl","Maternal fish oil supplementation during pregnancy","No maternal fish oil supplementation during pregnancy","oftenVSnever-rare","yes-no","1=yes","atopic","AD","","0.5","0to4","low-normal","Low","Low","Low","Low","","","","","","152","9","1608","109","OR","1.15","0.91","2.83","","","","","","","","OR","0.139761942","0.459446311","","","0.139761942","0.459446311","1.15","0.467314488","2.83","","","","1.15","0.467314488","2.83","OR","-0.139761942","0.459446311","","","-0.139761942","0.459446311","0.869565217","0.35335689","2.139886578","","","","0.869565217","0.35335689","2.139886578"
"Willers","2007","ABERDEEN COHORT","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - MATERNAL","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","never","?1/week","oftenVSnever-rare","freq(times/week)","2=no","atopic","AD","","5","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.73","0.47","1.16","0.111","","OR","0.68","0.43","1.1","0.05","OR","-0.314710745","0.236291199","-0.385662481","0.245394215","-0.385662481","0.245394215","0.73","0.459396552","1.16","0.68","0.420363636","1.1","0.68","0.420363636","1.1","OR","-0.314710745","0.236291199","-0.385662481","0.245394215","-0.385662481","0.245394215","0.73","0.459396552","1.16","0.68","0.420363636","1.1","0.68","0.420363636","1.1"
"Leermakers","2013","GENERATION R","prospectvie cohort","prospective","Fish intake in pregnancy","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","No fish intake in first trimester of pregnancy","Total fish >210g/week","oftenVSnever-rare","tertile-quartile-quintile","2=no","atopic","AD","","4","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","OR","0.96","0.73","1.28","","OR","","","-0.040821995","0.146776568","-0.040821995","0.146776568","","","","0.96","0.72","1.28","0.96","0.72","1.28","OR","","","-0.040821995","0.146776568","-0.040821995","0.146776568","","","","0.96","0.72","1.28","0.96","0.72","1.28"
"Jedrychowski","2011","JEDRYCHOWSKI  W","prospective cohort","prospective","FISH INTAKE-PREGNANCY","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","<=90",">205","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","1","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","OR","0.57","0.35","0.93","","OR","","","-0.562118918","0.249769503","-0.562118918","0.249769503","","","","0.57","0.349354839","0.93","0.57","0.349354839","0.93","OR","","","-0.562118918","0.249769503","-0.562118918","0.249769503","","","","0.57","0.349354839","0.93","0.57","0.349354839","0.93"
