FirstAuthor,YearOfPublication,StudyName,StudyDesign,SpecficOutcome,OutcomeSubgroup,AgeAtOutcome,AgeAtOutcomeGroup,DiseaseRisk,FattyAcidSource,TimeAtIntervention,TimeAdministrationGroup,MaternalChildAdministration,TypeOfIntervention,TypeOfFa,TotalNInter,NEventsInter,TotalNCtrl,NEventsCtrl,RR,LL(RR),s.e(lnRR),LL,UL,OverallRiskofBias,OverallRiskOfBiasGroup,ConflictOfInterestBias,ConflictOfInterestBiasGroup,OtherInformationStatAnalysis,merged to column AC
Mihrshahi,2003,Childhood ASTHMA Prevention Study (CAPS),RCT,Wheeze,,1.5,0to4,high,FATTY ACIDS,1st year,postnatal.only,child.only,n3 plus canola,n3,279,119,275,145,0.8089,-0.2121,0.0899,0.6783,0.9648,Low,Low,Low,Low,,
Mihrshahi,2003,Childhood ASTHMA Prevention Study (CAPS),RCT,Wheeze.rec,,1.5,0to4,high,FATTY ACIDS,1st year,postnatal.only,child.only,n3 plus canola,n3,279,41,275,34,1.1886,0.1728,0.2158,0.7786,1.8145,Low,Low,Low,Low,,
Noakes,2012,SiPS,RCT,AD,,0.5,0to4,high,FISH (salmon),pregnancy,pre-post-natal,pregnancy.only,n3 intake,n3,48,12,38,7,1.3571,0.3054,0.4231,0.5922,3.1103,Unclear,High/Unclear,Low,Low,,
Noakes,2012,SiPS,RCT,AS-ANY,SPT-ANY,0.5,any,high,FISH (salmon),pregnancy,pre-post-natal,pregnancy.only,n3 intake,n3,48,6,38,5,0.9500,-0.0513,0.5653,0.3137,2.8766,Unclear,High/Unclear,Low,Low,,
Noakes,2012,SiPS,RCT,AS-CM,SPT-CM,0.5,any,high,FISH (salmon),pregnancy,pre-post-natal,pregnancy.only,n3 intake,n3,48,2,38,2,0.7917,-0.2336,0.9761,0.1169,5.3635,Unclear,High/Unclear,Low,Low,,
Noakes,2012,SiPS,RCT,AS-EGG,SPT-EGG,0.5,any,high,FISH (salmon),pregnancy,pre-post-natal,pregnancy.only,n3 intake,n3,48,3,38,4,0.5938,-0.5213,0.7322,0.1414,2.4940,Unclear,High/Unclear,Low,Low,,
Noakes,2012,SiPS,RCT,Wheeze,,0.5,0to4,high,FISH (salmon),pregnancy,pre-post-natal,pregnancy.only,n3 intake,n3,46,11,37,7,1.2640,0.2343,0.4301,0.5440,2.9367,Unclear,High/Unclear,Low,Low,,
Olsen,2008,Olsen,RCT,Wheeze.rec,,16,15plus,normal,FATTY ACIDS,pregnancy,pre-post-natal,pregnancy.only,n3,n3,263,2,136,8,0.1293,-2.0458,0.7835,0.0278,0.6004,Unclear,High/Unclear,Low,Low,,
Palmer,2012,DOMInO,RCT,AD-atopic,,1,0to4,high,FATTY ACIDS,pregnancy,pre-post-natal,pregnancy.only,n3,n3,357,26,324,39,0.6050,-0.5025,0.2413,0.3771,0.9709,Low,Low,Unclear,High/Unclear,,
Palmer,2012,DOMInO,RCT,FA-ANY,,1,0to4,high,FATTY ACIDS,pregnancy,pre-post-natal,pregnancy.only,n3,n3,357,11,324,11,0.9076,-0.0970,0.4194,0.3989,2.0650,Low,Low,Unclear,High/Unclear,,
Palmer,2012,DOMInO,RCT,AS-CM,SPT-CM,1,any,high,FATTY ACIDS,pregnancy,pre-post-natal,pregnancy.only,n3,n3,349,6,317,3,1.8166,0.5970,0.7028,0.4581,7.2033,Low,Low,Unclear,High/Unclear,,
Palmer,2012,DOMInO,RCT,AS-EGG,SPT-EGG,1,any,high,FATTY ACIDS,pregnancy,pre-post-natal,pregnancy.only,n3,n3,349,34,317,52,0.5939,-0.5211,0.2065,0.3963,0.8901,Low,Low,Unclear,High/Unclear,,
Palmer,2013,DOMInO,RCT,AR,,3,0to4,high,FATTY ACIDS,pregnancy,pre-post-natal,pregnancy.only,n3,n3,368,18,338,20,0.8266,-0.1904,0.3160,0.4449,1.5358,Low,Low,Unclear,High/Unclear,,
Palmer,2013,DOMInO,RCT,Wheeze,,3,0to4,high,FATTY ACIDS,pregnancy,pre-post-natal,pregnancy.only,n3,n3,368,6,338,5,1.1022,0.0973,0.6008,0.3395,3.5783,Low,Low,Unclear,High/Unclear,,
Peat,2004,Childhood ASTHMA Prevention Study (CAPS),RCT,AD-atopic,no eczema; nonatopic eczema; atopic eczema,3,0to4,high,FATTY ACIDS,1st year,postnatal.only,child.only,n3 plus canola,n3,267,33,259,31,1.0326,0.0321,0.2344,0.6522,1.6349,Low,Low,Unclear,High/Unclear,,
Peat,2004,Childhood ASTHMA Prevention Study (CAPS),RCT,AS-FOOD,SPT-FOOD,3,any,high,FATTY ACIDS,1st year,postnatal.only,child.only,n3 plus canola,n3,134,21,163,24,1.0644,0.0624,0.2751,0.6207,1.8250,Low,Low,Unclear,High/Unclear,,
Peat,2004,Childhood ASTHMA Prevention Study (CAPS),RCT,Wheeze-atopic,no wheeze; nonatopic wheeze; atopic wheeze,3,0to4,high,FATTY ACIDS,1st year,postnatal.only,child.only,n3 plus canola,n3,267,37,259,37,0.9700,-0.0304,0.2155,0.6358,1.4799,Low,Low,Unclear,High/Unclear,,
van Gool,2003,EFAtop Study,RCT,AD,,1,0to4,high,FATTY ACIDS,1st year,postnatal.only,child.only,n6,n6,60,23,58,28,0.7940,-0.2306,0.2128,0.5232,1.2050,Unclear,High/Unclear,High,High/Unclear,,
van Gool,2003,EFAtop Study,RCT,AS-FOOD,sIgE-FOOD,1,any,high,FATTY ACIDS,1st year,postnatal.only,child.only,n6,n6,58,10,54,5,1.8621,0.6217,0.5140,0.6799,5.0999,Unclear,High/Unclear,High,High/Unclear,,
