FirstAuthor,YearOfPublication,StudyName,StudyDesign,TypeOfIntervention,SpecficOutcome,OutcomeSubgroup,AgeAtOutcome,AgeAtOutcomeGroup,DiseaseRiskGroup,SelectedPopulation,Intervention,ExpSubg,IntervSubg,TimeOfIntervention,TotalNInter,NEventsInter,TotalNCtrl,NEventsCtrl,OverallRiskofBias,OverallRiskOfBiasGroup,ConflictOfInterestBias,ConflictOfInterestBiasGroup,MeanInter,SdInter,MeanCtrl,SdCtrl
Arshad,1992,Isle of Wight Prevention Study,RCT,Multifaceted,ASany,,1,any,High,Representative,MULTI,,,post,58,2,62,6,Unclear,High/Unclear,Unclear,High/Unclear,,,,
Becker,2004,CAPPS,RCT,Multifaceted,RecWheeze,,1,0to4,High,Representative,MULTI,,,post,251,38,242,46,Low,Low,Low,Low,,,,
Becker,2004,CAPPS,RCT,Multifaceted,ASany,,1,any,High,Representative,MULTI,,,post,251,52,242,49,Low,Low,Low,Low,,,,
Carlsten,2013,CAPPS,RCT,Multifaceted,AD,,7,5to14,High,Representative,MULTI,,,post,198,43,175,42,High,High/Unclear,Low,Low,,,,
Chan-Yeung,2000,Canadian asthma primary prevention study (CAPPS),RCT,Multifaceted,FEV1perc_pred,,7,5to14,High,Representative population,MULTI,pHF-whey,Multifaceted intervention,post,178,,202,,Low,Low,Low,Low,93.3,12.5,92.7,11.3
Chan-Yeung,2000,Canadian asthma primary prevention study (CAPPS),RCT,Multifaceted,AR,,1,0to4,High,Representative population,MULTI,pHF-whey,Multifaceted intervention,post,251,42,242,66,Low,Low,Low,Low,,,,
Chan-Yeung,2000,Canadian asthma primary prevention study (CAPPS),RCT,Multifaceted,ASaero,,1,any,High,Representative population,MULTI,pHF-whey,Multifaceted intervention,post,251,11,242,11,Low,Low,Low,Low,,,,
Chan-Yeung,2005,CAPPS,RCT,Multifaceted,BHR,,7,5to14,High,Representative,MULTI,,,post,202,141,178,117,Low,Low,Low,Low,,,,
Chan-Yeung,2005,CAPPS,RCT,Multifaceted,AR,,7,5to14,High,Representative,MULTI,,,post,202,64,178,49,Low,Low,Low,Low,,,,
Chan-Yeung,2005,CAPPS,RCT,Multifaceted,RecWheeze,,7,5to14,High,Representative,MULTI,,,post,202,30,178,41,Low,Low,Low,Low,,,,
Chan-Yeung,2005,CAPPS,RCT,Multifaceted,Wheeze,,7,5to14,High,Representative,MULTI,,,post,202,35,178,52,Low,Low,Low,Low,,,,
Halmerbauer,2002,SPACE *,RCT,Multifaceted,ASany,,1,any,High,Representative population,MULTI,,,post,322,20,300,32,Unclear,High/Unclear,Low,Low,,,,
Halmerbauer,2002,SPACE *,RCT,Multifaceted,ASegg,,1,any,High,Representative population,MULTI,,,post,322,15,300,16,Unclear,High/Unclear,Low,Low,,,,
Halmerbauer,2002,SPACE*,RCT,Multifaceted,AScm,,1,any,High,Representative population,MULTI,,,post,322,4,300,8,Unclear,High/Unclear,Low,Low,,,,
Halmerbauer,2003,SPACE ,RCT,Multifaceted,AD,,1,0to4,High,Representative,MULTI,,envir.control,post,349,40,347,46,High,High/Unclear,Low,Low,,,,
Halmerbauer,2003,SPACE ,RCT,Multifaceted,FAany,,1,0to4,High,Representative,MULTI,,,post,349,18,347,14,High,High/Unclear,Low,Low,,,,
Halmerbauer,2003,SPACE ,RCT,Multifaceted,RecWheeze,,1,0to4,High,Representative,MULTI,,,post,349,25,347,23,High,High/Unclear,Low,Low,,,,
Halmerbauer,2003,SPACE ,RCT,Multifaceted,Wheeze,,1,0to4,High,Representative,MULTI,,,post,349,70,347,70,High,High/Unclear,Low,Low,,,,
Hide,1996,Isle of Wight Prevention Study,RCT,Multifaceted,AR,,4,0to4,High,Representative population,MULTI,,,post,58,6,62,11,Unclear,High/Unclear,Low,Low,,,,
Hide,1996,Isle of Wight Prevention Study,RCT,Multifaceted,AScm,,4,any,High,Representative population,MULTI,,,post,58,0,62,3,Unclear,High/Unclear,Low,Low,,,,
Hide,1996,Isle of Wight Prevention Study,RCT,Multifaceted,ASegg,,4,any,High,Representative population,MULTI,,,post,58,2,62,4,Unclear,High/Unclear,Low,Low,,,,
Kuikka,1995,POYSA,RCT,Multifaceted,ASaero,,10,any,High,Representative,MULTI,,,post,35,14,33,13,Unclear,High/Unclear,Low,Low,,,,
Lovegrove,1994,Lovegrove,RCT,Multifaceted,AD,,1,0to4,High,Representative,MULTI,,nonenvir.control,pre/post,12,5,14,8,Unclear,High/Unclear,High,High/Unclear,,,,
Matthew,1977,Matthew,RCT,Multifaceted,AD,,1,0to4,High,Representative,MULTI,,envir.control,post,23,3,19,9,High,High/Unclear,Unclear,High/Unclear,,,,
Matthew,1977,Matthew,RCT,Multifaceted,ASany,,1,any,High,Representative,MULTI,,,post,23,12,19,13,High,High/Unclear,Unclear,High/Unclear,,,,
Matthew,1977,Matthew,RCT,Multifaceted,AScm,,1,any,High,Representative,MULTI,,,post,23,6,19,9,High,High/Unclear,Unclear,High/Unclear,,,,
Poysa,1989,POYSA,RCT,Multifaceted,AD,,5,5to14,High,Representative,MULTI,,,post,37,9,33,7,Unclear,High/Unclear,Low,Low,,,,
Poysa,1991,POYSA,RCT,Multifaceted,AC,,10,5to14,High,Representative,MULTI,,,post,35,8,33,3,Unclear,High/Unclear,Low,Low,,,,
Poysa,1991,POYSA,RCT,Multifaceted,AR,,10,5to14,High,Representative,MULTI,,,post,35,5,33,8,Unclear,High/Unclear,Low,Low,,,,
Poysa,1991,POYSA,RCT,Multifaceted,FAany,,10,5to14,High,Representative,MULTI,,,post,35,4,33,1,Unclear,High/Unclear,Low,Low,,,,
Poysa,1991,POYSA,RCT,Multifaceted,RecWheeze,,10,5to14,High,Representative,MULTI,,,post,35,3,33,2,Unclear,High/Unclear,Low,Low,,,,
Schonberger,2005,PREVASC,RCT,Multifaceted,AD,,2,0to4,High,Representative population,MULTI,,envir.control,post,212,58,200,46,Unclear,High/Unclear,Unclear,High/Unclear,,,,
Schonberger,2005,PREVASC,RCT,Multifaceted,RecWheeze,,2,0to4,High,Representative population,MULTI,eHF-whey,Multifaceted intervention,post,189,49,184,47,Unclear,High/Unclear,Unclear,High/Unclear,,,,
Schonberger,2005,PREVASC,RCT,Multifaceted,ASany,,2,any,High,Representative population,MULTI,eHF-whey,Multifaceted intervention,post,197,13,208,11,Unclear,High/Unclear,Unclear,High/Unclear,,,,
Scott,2012,Isle of Wight prevention cohort,RCT,Multifaceted,AD,,18,15plus,High,Representative population,MULTI,,,post,56,7,58,15,Unclear,High/Unclear,Low,Low,,,,
Scott,2012,Isle of Wight prevention cohort,RCT,Multifaceted,RecWheeze,,18,15plus,High,Representative population,MULTI,,,post,56,13,58,20,Unclear,High/Unclear,Low,Low,,,,
Scott,2012,Isle of Wight prevention cohort,RCT,Multifaceted,RecWheeze.atop,,18,15plus,High,Representative population,MULTI,,,post,48,4,55,13,Unclear,High/Unclear,Low,Low,,,,
Scott,2012,Isle of Wight prevention cohort,RCT,Multifaceted,RecWheeze.Natop,,18,15plus,High,Representative population,MULTI,,,post,48,2,55,2,Unclear,High/Unclear,Low,Low,,,,
Shao,2006,Shao,RCT,Multifaceted,AD,,1.5,0to4,High,Representative,MULTI,,nonenvir.control,post,23,4,23,9,Unclear,High/Unclear,Unclear,High/Unclear,,,,
Shao,2006,Shao*,RCT,Multifaceted,ASfd,,1.5,any,High,Representative,MULTI,,,post,23,3,23,9,Unclear,High/Unclear,Unclear,High/Unclear,,,,
Wong,2013,CAPPS,RCT,Multifaceted,AScm,,15,any,High,Representative,MULTI,,,post,176,3,149,2,High,High/Unclear,Low,Low,,,,
Wong,2013,CAPPS,RCT,Multifaceted,ASegg,,15,any,High,Representative,MULTI,,,post,176,4,149,2,High,High/Unclear,Low,Low,,,,
Wong,2013,CAPPS,RCT,Multifaceted,ASpn,,15,any,High,Representative,MULTI,,,post,176,19,149,16,High,High/Unclear,Low,Low,,,,
Zeiger,1994,Zeiger 1994,RCT,Multifaceted,AD,,7,5to14,High,Representative population,MULTI,eHF-casein,Multifaceted intervention,post,59,9,106,24,High,High/Unclear,Unclear,High/Unclear,,,,
Zeiger,1994,Zeiger 1994,RCT,Multifaceted,AR,,7,5to14,High,Representative population,MULTI,eHF-casein,Multifaceted intervention,post,59,21,106,47,High,High/Unclear,Unclear,High/Unclear,,,,
Zeiger,1994,Zeiger 1994,RCT,Multifaceted,FAany,,7,5to14,High,Representative population,MULTI,eHF-casein,Multifaceted intervention,post,59,6,106,24,High,High/Unclear,Unclear,High/Unclear,,,,
Zeiger,1994,Zeiger 1994,RCT,Multifaceted,RecWheeze,,7,5to14,High,Representative population,MULTI,eHF-casein,Multifaceted intervention,post,59,21,106,46,High,High/Unclear,Unclear,High/Unclear,,,,
Zeiger,1994,Zeiger 1994,RCT,Multifaceted,ASaero,,7,any,High,Representative population,MULTI,eHF-casein,Multifaceted intervention,post,59,23,106,56,High,High/Unclear,Unclear,High/Unclear,,,,
